Cell	Plate Number	Classification	Percent_Mitochondrial	Clusters
X093_2	P2	engaging	17.4527592043147	0
X094_2	P2	engaging	16.7103878844929	0
X095_2	P2	engaging	20.1119835242631	0
X096_2	P2	engaging	17.966306417906	0
X097_2	P2	engaging	24.2788943872458	0
X098_2	P2	engaging	5.6102347877982	0
X099_2	P2	engaging	21.081567586533	0
X100_2	P2	engaging	22.0594800335462	0
X103_2	P2	engaging	24.930156077165	2
X104_2	P2	engaging	15.6583044750476	2
X105_2	P2	engaging	24.8122850742972	2
X106_2	P2	engaging	22.6027469995178	2
X107_2	P2	engaging	11.4653605582973	3
X108_2	P2	engaging	14.4516426956962	0
X109_2	P2	engaging	26.9181161458803	2
X111_2	P2	engaging	18.4746196017535	0
X112_2	P2	engaging	29.8568951444246	0
X115_2	P2	engaging	22.3005366316922	2
X116_2	P2	engaging	24.490695854311	0
X117_2	P2	engaging	25.1808124174373	2
X118_2	P2	engaging	17.3953976096349	2
X119_2	P2	engaging	19.5256067951986	0
X120_2	P2	engaging	14.9122565258692	0
X121_2	P2	engaging	18.243029434593	3
X123_2	P2	engaging	18.6672329034105	4
X124_2	P2	engaging	25.4700558574241	0
X126_2	P2	engaging	16.9008934728142	0
X127_2	P2	engaging	19.7342140130915	4
X128_2	P2	engaging	25.7247437774524	3
X131_2	P2	engaging	20.5921655704249	3
X132_2	P2	engaging	19.6220045801455	0
X133_2	P2	engaging	18.2319189629524	0
X135_2	P2	engaging	26.4275195198533	0
X136_2	P2	engaging	26.0285055345707	3
X137_2	P2	engaging	16.1510739058144	0
X138_2	P2	engaging	27.74720075908	3
X141_2	P2	engaging	21.316942854544	0
X142_2	P2	engaging	21.1421787009705	0
X144_2	P2	engaging	14.8036288602751	0
X145_2	P2	engaging	20.2992801647055	0
X146_2	P2	engaging	15.0827211487404	0
X147_2	P2	engaging	21.2426209975869	3
X148_2	P2	engaging	21.8028191298385	0
X149_2	P2	engaging	15.793970366034	0
X150_2	P2	engaging	18.5264069889173	2
X151_2	P2	engaging	22.9075526864643	0
X152_2	P2	engaging	24.5839413530695	2
X153_2	P2	engaging	19.6965696895571	0
X154_2	P2	engaging	19.7862545316247	0
X155_2	P2	engaging	21.6056882786831	0
X157_2	P2	engaging	27.9566321979626	0
X158_2	P2	engaging	18.9713145923117	0
X159_2	P2	engaging	21.650958911946	0
X160_2	P2	engaging	22.6023371274995	2
X161_2	P2	engaging	17.0055767635548	0
X162_2	P2	engaging	21.7221587207944	0
X163_2	P2	engaging	26.2773722627737	4
X164_2	P2	engaging	20.3381979142746	0
X165_2	P2	engaging	28.4762283995511	0
X166_2	P2	engaging	22.8767072285343	0
X167_2	P2	engaging	26.7150549133754	0
X168_2	P2	engaging	21.1406997995333	3
X169_2	P2	engaging	16.5806783260603	0
X170_2	P2	engaging	22.0118828793049	0
X171_2	P2	engaging	25.0398721078002	0
X172_2	P2	engaging	20.3122803180604	0
X173_2	P2	engaging	15.9197785130663	0
X174_2	P2	engaging	24.9023246186317	2
X175_2	P2	engaging	15.9626744699012	0
X176_2	P2	engaging	10.9172785836128	0
X177_2	P2	engaging	21.2442210656445	0
X178_2	P2	engaging	17.3724895513555	0
X179_2	P2	engaging	15.9653001033147	3
X180_2	P2	engaging	16.9306912311024	0
X183_2	P2	engaging	20.8806269653003	0
X184_2	P2	engaging	20.208257406154	0
X185_2	P2	engaging	22.8696369858254	0
X186_2	P2	engaging	17.5786063185965	0
X191_2	P2	engaging	22.292003827908	0
X192_2	P2	engaging	18.0285409882805	3
X193_2	P2	engaging	16.6784800892017	2
X194_2	P2	engaging	18.652254615771	0
X195_2	P2	engaging	18.4521353696962	0
X196_2	P2	engaging	14.8549279483074	4
X197_2	P2	engaging	18.8401788765392	0
X198_2	P2	engaging	23.08751647254	0
X199_2	P2	engaging	20.6790354906011	2
X200_2	P2	engaging	21.6353705792776	0
X201_2	P2	engaging	19.7726960885773	0
X202_2	P2	engaging	10.4672348919068	0
X203_2	P2	engaging	24.2640204427185	2
X204_2	P2	engaging	23.7192867569817	0
X205_2	P2	engaging	24.5660601742828	2
